Semaine N° :   9            Semaine :     Lun. 28 Fév. 2022 - Dim. 06 Mar. 2022;;;;;;;;;
Garde du :     Lun. 28 Fév. 2022 à 8h - Mar. 01 Mar. 2022 à 8h                                                                                                                        Semaine N° :   9;;;;;;;;;
Garde du :     Lun. 14 Mar. 2022 à 8h - Mar. 15 Mar. 2022 à 8h                                                                                                                        Semaine N° :   11;;;;;;;;;
Zone;GP;Pharmacie;;Localisation;;Téléphone 1;Téléphone 2;Téléphone 3;
ZONE 1;1O;MARCHE, du (Yaoundé);;MARCHE CENTRAL;;242 01 50 46;690 30 75 88;;
ZONE 2;2.3A;PROVINCIALE;;NLONGKAK PREFECTURE;;222 20 94 93;6 96 31 65 86 /;;
ZONE 3;3C;CAPITALE, de la;;DON BOSCO MIMBOMAN;;243 52 52 44;;;
ZONE 4;4C;POPULAIRE;;A côté SUPERMARCHÉ DOVV ESSOS;;222 23 23 41;;;
ZONE 4;4C;REFERENCE, la;;TRANSFORMATEUR NGOUSSO;;242 04 25 96;652 62 36 72 /;;
ZONE 5;5C;EFOULAN;;à côté PALAIS CHARLES ATANGANA (EFOULAN);;242 06 74 26;;;
ZONE 6;6C;PROVIDENCE, de la;;SAPEUR POMPIER MOKOLO;;222 23 11 54;;;
ZONE 6;6C;CYPRES, du;;2ième Carrefour NKOLBISSON;;242 06 47 59;;;
ZONE 7;7C;CARREFOUR EMIA;;EMIA;;222 23 42 07;222 23 00 86 /;;
ZONE 8;8.2D;BIYEM-ASSI, de;;face NIKI;;222 31 71 93;676 11 37 86;;
ZONE 9;9C;BETHESDA;;TAM-TAM WEEK-END;;222 31 39 97;;;
ZONE 10;10C;HERMES;;face BOULANGERIE NEZAFI _ EMANA;;243 64 11 81;677 98 70 76;664 46 07 46;
ZONE 11;11C;ETOUDI, d';;Face FOKOU ETOUDI;;242 03 50 51;;;
ZONE 12;12C;THERIAQUE;;A côté SOUS-PREFECTURE NKONDENGUI;;222 30 63 25;679 68 05 11;;
ZONE 12;12C;SANTE & VIE;;face GP BITENG;;682 24 74 78;;;
ZONE 13;13C;MESSAMENDONGO;;Carrefour MESSAMENDONGO;;222 30 55 30;242 10 76 94;;
ZONE 13;13C;SAINTE URIEL;;DERNIER POTEAU _ EKIE;;243 89 71 86;693 74 14 05;652 73 22 65;
